Product,Model,Period,Avg_Quantity_Pred,RMSE,R2,MAE,SMAPE,Avg_Quantity_Real
4A0100000001,Prophet,Holdout,1.675066428543962,1.5666338713791883,0.0,1.2849469289829147,91.8185765314757,1.0
4A0100000001,Prophet,Forecast,1.123313268494269,,,,,0.0
4A0100000001,XGBoost,Holdout,1.4659163309977605,0.7101888659774088,0.0,0.6975767076015472,51.34223830182187,1.0
4A0100000001,XGBoost,Forecast,1.8059202394177836,,,,,0.0
4A0100000001,LightGBM,Holdout,1.3508875236404176,0.652755621176638,0.0,0.6258312210554371,46.900715266742424,1.0
4A0100000001,LightGBM,Forecast,2.0035462685020313,,,,,0.0
4A0100000001,CatBoost,Holdout,1.6780209192904862,0.9337852480910422,0.0,0.8860332395890846,60.022420065514545,1.0
4A0100000001,CatBoost,Forecast,1.7791107407619347,,,,,0.0
4A0100000001,Ensemble,Holdout,1.5150604913121706,0.7959922168349559,0.0,0.7474460905868008,52.97085311717071,1.0
4A0100000001,Ensemble,Forecast,1.7522664700788078,,,,,0.0
4A0100000002,Prophet,Holdout,28.23917108709837,23.44657714458926,-28.420749026900076,22.148194717636684,129.36025385184283,6.382022471910112
4A0100000002,Prophet,Forecast,14.316603129545733,,,,,0.0
4A0100000002,XGBoost,Holdout,24.040432804233426,18.258113759737412,-16.840484337205307,17.83770069379485,122.05803763210315,6.382022471910112
4A0100000002,XGBoost,Forecast,25.244813919067383,,,,,0.0
4A0100000002,LightGBM,Holdout,10.033378183525029,5.609894815586759,-0.6842410955358067,4.760106479407072,64.96694001094797,6.382022471910112
4A0100000002,LightGBM,Forecast,9.985660071717271,,,,,0.0
4A0100000002,CatBoost,Holdout,21.370240403936837,15.62676653313051,-12.068720525225295,15.162808529508041,114.7680210604058,6.382022471910112
4A0100000002,CatBoost,Forecast,22.765171969915347,,,,,0.0
4A0100000002,Ensemble,Holdout,18.883874289521504,13.291142653852717,-8.454084110250419,12.789621949925616,107.07516378759183,6.382022471910112
4A0100000002,Ensemble,Forecast,16.726950333280698,,,,,0.0
4A2000000060,Prophet,Holdout,15.851158390793389,18.62873782506241,-0.5014563270526713,14.499113376326736,95.64962303340091,19.945054945054945
4A2000000060,Prophet,Forecast,25.00992267170385,,,,,0.0
4A2000000060,XGBoost,Holdout,31.202785806341485,18.66922816912629,-0.5079903771350927,16.021440799419697,70.77639572686687,19.945054945054945
4A2000000060,XGBoost,Forecast,31.944724667456843,,,,,0.0
4A2000000060,LightGBM,Holdout,31.65239538754735,18.9575572833859,-0.5549291204412043,16.351854081948762,71.54408136111735,19.945054945054945
4A2000000060,LightGBM,Forecast,32.426034946545386,,,,,0.0
4A2000000060,CatBoost,Holdout,18.963175782253067,14.860508700344324,0.04453849174016078,10.46541276654042,54.89823851316659,19.945054945054945
4A2000000060,CatBoost,Forecast,19.163262915582816,,,,,0.0
4A2000000060,Ensemble,Holdout,24.559836138904434,15.22730573115925,-0.0032102901046136,11.896059831761827,59.531243734310536,19.945054945054945
4A2000000060,Ensemble,Forecast,26.685605850064604,,,,,0.0
4B4822100001,Prophet,Holdout,1.4053296874011885,0.29980801017406655,0.0,0.29980801017406655,35.26754765938255,1.0
4B4822100001,Prophet,Forecast,0.0,,,,,0.0
4B4822100001,XGBoost,Holdout,1.56110680103302,0.56110680103302,0.0,0.56110680103302,43.81752457841972,1.0
4B4822100001,XGBoost,Forecast,1.56110680103302,,,,,0.0
4B4822100001,LightGBM,Holdout,2.3297885570555534,1.2586402966541241,0.0,1.2586402966541241,77.24941583198577,1.0
4B4822100001,LightGBM,Forecast,2.2586402966541237,,,,,0.0
4B4822100001,CatBoost,Holdout,2.308074032093244,0.8161380002715273,0.0,0.8161380002715273,57.96150615941803,1.0
4B4822100001,CatBoost,Forecast,1.6994492191697907,,,,,0.0
4B4822100001,Ensemble,Holdout,1.7874791208590848,0.426158825892095,0.0,0.426158825892095,35.130332056297405,1.0
4B4822100001,Ensemble,Forecast,1.1574391618496647,,,,,0.0
4R5216200001,Prophet,Holdout,1.087147152341961,,,,,0.0
4R5216200001,Prophet,Forecast,0.9493903422901533,,,,,0.0
4R5216200001,XGBoost,Holdout,1.247322678565979,,,,,0.0
4R5216200001,XGBoost,Forecast,1.1599751095617972,,,,,0.0
4R5216200001,LightGBM,Holdout,1.0604844037883525,,,,,0.0
4R5216200001,LightGBM,Forecast,1.0265165805987357,,,,,0.0
4R5216200001,CatBoost,Holdout,1.0845624684839492,,,,,0.0
4R5216200001,CatBoost,Forecast,1.0249878512141088,,,,,0.0
4R5216200001,Ensemble,Holdout,1.1198791757950601,,,,,0.0
4R5216200001,Ensemble,Forecast,1.0402174709161989,,,,,0.0
ACDF20200003,Prophet,Holdout,0.1479491429589567,,,,,0.0
ACDF20200003,Prophet,Forecast,0.030573422188738455,,,,,0.0
ACDF20200003,XGBoost,Holdout,1.949425254549299,,,,,0.0
ACDF20200003,XGBoost,Forecast,2.138608717149304,,,,,0.0
ACDF20200003,LightGBM,Holdout,2.096112848852658,,,,,0.0
ACDF20200003,LightGBM,Forecast,2.0830571217508425,,,,,0.0
ACDF20200003,CatBoost,Holdout,2.5590193134611994,,,,,0.0
ACDF20200003,CatBoost,Forecast,2.1899113993595356,,,,,0.0
ACDF20200003,Ensemble,Holdout,1.6881266399555275,,,,,0.0
ACDF20200003,Ensemble,Forecast,1.6105376651121053,,,,,0.0
ACDF51000005,Prophet,Holdout,0.0,,,,,0.0
ACDF51000005,Prophet,Forecast,0.0,,,,,0.0
ACDF51000005,XGBoost,Holdout,4.920451945000952,,,,,0.0
